Title,Description,Director,Publication_Year,Runtime,Genre
October Sky,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",Joe Johnston,1999,108 min,"Biography, Drama, Family"
Shrek,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Andrew Adamson,2001,90 min,"Animation, Adventure, Comedy"
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,1997,194 min,"Drama, Romance"
Hana-bi,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",Takeshi Kitano,1997,103 min,"Crime, Drama, Romance"
Gattaca,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Andrew Niccol,1997,106 min,"Drama, Sci-Fi, Thriller"
The Game,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",David Fincher,1997,129 min,"Action, Drama, Mystery"
Breaking the Waves,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",Lars von Trier,1996,159 min,Drama
Ed Wood,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Tim Burton,1994,127 min,"Biography, Comedy, Drama"
What's Eating Gilbert Grape,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,1993,118 min,Drama
Tombstone,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",George P. Cosmatos,1993,130 min,"Action, Biography, Drama"
The Sandlot,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",David Mickey Evans,1993,101 min,"Comedy, Drama, Family"
The Remains of the Day,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,1993,134 min,"Drama, Romance"
Naked,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.",Mike Leigh,1993,132 min,"Comedy, Drama"
The Fugitive,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Andrew Davis,1993,130 min,"Action, Crime, Drama"
A Bronx Tale,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Robert De Niro,1993,121 min,"Crime, Drama, Romance"
Batman: Mask of the Phantasm,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Kevin Altieri,1993,76 min,"Animation, Action, Crime"
Lat sau san taam,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,John Woo,1992,128 min,"Action, Crime, Thriller"
Night on Earth,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Jim Jarmusch,1991,129 min,"Comedy, Drama"
La double vie de Véronique,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",Krzysztof Kieslowski,1991,98 min,"Drama, Fantasy, Music"
Boyz n the Hood,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",John Singleton,1991,112 min,"Crime, Drama"
Misery,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Rob Reiner,1990,107 min,"Drama, Thriller"
Awakenings,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Penny Marshall,1990,121 min,"Biography, Drama"
Majo no takkyûbin,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Hayao Miyazaki,1989,103 min,"Animation, Adventure, Drama"
Glory,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Edward Zwick,1989,122 min,"Biography, Drama, History"
Dip huet seung hung,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,John Woo,1989,111 min,"Action, Crime, Drama"
Back to the Future Part II,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Robert Zemeckis,1989,108 min,"Adventure, Comedy, Sci-Fi"
Mississippi Burning,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,Alan Parker,1988,128 min,"Crime, Drama, History"
Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan,1987,107 min,"Action, Adventure, Sci-Fi"
Evil Dead II,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Sam Raimi,1987,84 min,"Action, Comedy, Fantasy"
Ferris Bueller's Day Off,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",John Hughes,1986,103 min,Comedy
Down by Law,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Jim Jarmusch,1986,107 min,"Comedy, Crime, Drama"
The Goonies,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Richard Donner,1985,114 min,"Adventure, Comedy, Family"
The Color Purple,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,Steven Spielberg,1985,154 min,Drama
The Breakfast Club,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,John Hughes,1985,97 min,"Comedy, Drama"
The Killing Fields,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",Roland Joffé,1984,141 min,"Biography, Drama, History"
Ghostbusters,Three former parapsychology professors set up shop as a unique ghost removal service.,Ivan Reitman,1984,105 min,"Action, Comedy, Fantasy"
The Right Stuff,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Philip Kaufman,1983,193 min,"Adventure, Biography, Drama"
The King of Comedy,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",Martin Scorsese,1982,109 min,"Comedy, Crime, Drama"
E.T. the Extra-Terrestrial,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Steven Spielberg,1982,115 min,"Family, Sci-Fi"
Kramer vs. Kramer,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.",Robert Benton,1979,105 min,Drama
Days of Heaven,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,Terrence Malick,1978,94 min,"Drama, Romance"
The Outlaw Josey Wales,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,Clint Eastwood,1976,135 min,Western
The Man Who Would Be King,"Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.",John Huston,1975,129 min,"Adventure, History, War"
The Conversation,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",Francis Ford Coppola,1974,113 min,"Drama, Mystery, Thriller"
La planète sauvage,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",René Laloux,1973,72 min,"Animation, Sci-Fi"
The Day of the Jackal,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",Fred Zinnemann,1973,143 min,"Crime, Drama, Thriller"
Badlands,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,Terrence Malick,1973,94 min,"Action, Crime, Drama"
Cabaret,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,Bob Fosse,1972,124 min,"Drama, Music, Musical"
Willy Wonka & the Chocolate Factory,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Mel Stuart,1971,100 min,"Family, Fantasy, Musical"
Midnight Cowboy,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",John Schlesinger,1969,113 min,Drama
Wait Until Dark,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,Terence Young,1967,108 min,Thriller
Guess Who's Coming to Dinner,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Stanley Kramer,1967,108 min,"Comedy, Drama"
Bonnie and Clyde,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",Arthur Penn,1967,111 min,"Action, Biography, Crime"
My Fair Lady,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,George Cukor,1964,170 min,"Drama, Family, Musical"
